Count,ProcessID,Data(Bytes),Time (Seconds)
1,8133,4096,1.000031
2,1454,4096,1.000032
3,7927,4096,1.000032
4,32328,4096,1.000033
5,4179,4096,1.000034
6,7195,4096,1.000034
7,4960,4096,1.000035
8,31591,4096,1.000035
9,2786,4096,1.000035
10,6896,4096,1.000035
11,909,4096,1.000036
12,7598,4096,1.000036
13,29032,4096,1.000037
14,3896,4096,1.000037
15,30612,4096,1.000037
16,4190,4096,1.000037
17,5098,4096,1.000037
18,29132,4096,1.000038
19,4299,4096,1.000038
20,6618,4096,1.000038
21,31432,4096,1.000039
22,30938,4096,1.000039
23,3000,4096,1.000039
24,3054,4096,1.000039
25,3206,4096,1.000039
26,4163,4096,1.000039
27,4808,4096,1.000039
28,5052,4096,1.000039
29,7315,4096,1.000039
30,7711,4096,1.000039
31,29452,4096,1.00004
32,30541,4096,1.00004
33,1475,4096,1.00004
34,3866,4096,1.00004
35,4522,4096,1.00004
36,4546,4096,1.00004
37,4741,4096,1.00004
38,3645,4096,1.000041
39,4556,4096,1.000041
40,4725,4096,1.000041
41,2496,4096,1.000041
42,4144,4096,1.000041
43,4620,4096,1.000041
44,6202,4096,1.000041
45,2352,4096,1.000042
46,3990,4096,1.000042
47,30726,4096,1.000042
48,5128,4096,1.000042
49,5675,4096,1.000042
50,5982,4096,1.000042
51,30875,4096,1.000043
52,32520,4096,1.000043
53,648,4096,1.000043
54,667,4096,1.000043
55,30308,4096,1.000043
56,5042,4096,1.000043
57,5716,4096,1.000043
58,5719,4096,1.000043
59,5910,4096,1.000043
60,6668,4096,1.000043
61,7252,4096,1.000043
62,7341,4096,1.000043
63,7934,4096,1.000043
64,8224,4096,1.000043
65,28007,4096,1.000044
66,29222,4096,1.000044
67,31440,4096,1.000044
68,32248,4096,1.000044
69,32428,4096,1.000044
70,32468,4096,1.000044
71,1369,4096,1.000044
72,2033,4096,1.000044
73,3182,4096,1.000044
74,5156,4096,1.000044
75,5869,4096,1.000044
76,5904,4096,1.000044
77,6643,4096,1.000044
78,7712,4096,1.000044
79,28251,4096,1.000045
80,3615,4096,1.000045
81,4138,4096,1.000045
82,4635,4096,1.000045
83,4644,4096,1.000045
84,4674,4096,1.000045
85,30710,4096,1.000045
86,30864,4096,1.000045
87,31548,4096,1.000045
88,32361,4096,1.000045
89,2583,4096,1.000045
90,4750,4096,1.000045
91,27776,4096,1.000046
92,28348,4096,1.000046
93,29065,4096,1.000046
94,341,4096,1.000046
95,3294,4096,1.000046
96,30412,4096,1.000046
97,31210,4096,1.000046
98,1324,4096,1.000046
99,3039,4096,1.000046
100,5745,4096,1.000046
101,7508,4096,1.000046
102,28489,4096,1.000047
103,31414,4096,1.000047
104,31673,4096,1.000047
105,4437,4096,1.000047
106,4535,4096,1.000047
107,4413,4096,1.000047
108,4647,4096,1.000047
109,4800,4096,1.000047
110,6477,4096,1.000047
111,6704,4096,1.000047
112,7329,4096,1.000047
113,30063,4096,1.000048
114,30298,4096,1.000048
115,683,4096,1.000048
116,1883,4096,1.000048
117,579,4096,1.000048
118,4498,4096,1.000048
119,7393,4096,1.000048
120,7509,4096,1.000048
121,7657,4096,1.000048
122,8127,4096,1.000048
123,2355,4096,1.000049
124,4139,4096,1.000049
125,4620,4096,1.000049
126,30511,4096,1.000049
127,31463,4096,1.000049
128,488,4096,1.000049
129,630,4096,1.000049
130,2569,4096,1.000049
131,8214,4096,1.000049
132,27899,4096,1.00005
133,31385,4096,1.00005
134,743,4096,1.00005
135,1622,4096,1.00005
136,2311,4096,1.00005
137,4358,4096,1.00005
138,4618,4096,1.00005
139,31177,4096,1.00005
140,31395,4096,1.00005
141,1389,4096,1.00005
142,27525,4096,1.000051
143,28344,4096,1.000051
144,28820,4096,1.000051
145,1684,4096,1.000051
146,2261,4096,1.000051
147,2448,4096,1.000051
148,4614,4096,1.000051
149,4814,4096,1.000051
150,30163,4096,1.000051
151,30638,4096,1.000051
152,31802,4096,1.000051
153,1818,4096,1.000051
154,2155,4096,1.000051
155,3411,4096,1.000051
156,3551,4096,1.000051
157,3699,4096,1.000051
158,4922,4096,1.000051
159,5979,4096,1.000051
160,6188,4096,1.000051
161,6249,4096,1.000051
162,8067,4096,1.000051
163,29042,4096,1.000052
164,30382,4096,1.000052
165,32467,4096,1.000052
166,1882,4096,1.000052
167,30955,4096,1.000052
168,2530,4096,1.000052
169,4225,4096,1.000052
170,5058,4096,1.000052
171,30135,4096,1.000053
172,3844,4096,1.000053
173,30646,4096,1.000053
174,30801,4096,1.000053
175,31184,4096,1.000053
176,32474,4096,1.000053
177,3227,4096,1.000053
178,3726,4096,1.000053
179,4577,4096,1.000053
180,5092,4096,1.000053
181,5459,4096,1.000053
182,5491,4096,1.000053
183,6629,4096,1.000053
184,8021,4096,1.000053
185,30379,4096,1.000054
186,1395,4096,1.000054
187,1244,4096,1.000054
188,1427,4096,1.000054
189,3159,4096,1.000054
190,5857,4096,1.000054
191,8687,4096,1.000054
192,2210,4096,1.000055
193,2289,4096,1.000055
194,30881,4096,1.000055
195,31992,4096,1.000055
196,1076,4096,1.000055
197,1143,4096,1.000055
198,1748,4096,1.000055
199,2959,4096,1.000055
200,3160,4096,1.000055
201,3620,4096,1.000055
202,7858,4096,1.000055
203,7888,4096,1.000055
204,8284,4096,1.000055
205,30751,4096,1.000056
206,2381,4096,1.000056
207,3151,4096,1.000056
208,4442,4096,1.000056
209,7232,4096,1.000056
210,7898,4096,1.000056
211,8398,4096,1.000056
212,27111,4096,1.000057
213,28296,4096,1.000057
214,28696,4096,1.000057
215,29290,4096,1.000057
216,31461,4096,1.000057
217,30350,4096,1.000057
218,1194,4096,1.000057
219,1731,4096,1.000057
220,3155,4096,1.000057
221,4180,4096,1.000057
222,6692,4096,1.000057
223,30329,4096,1.000058
224,579,4096,1.000058
225,1690,4096,1.000058
226,5049,4096,1.000058
227,5312,4096,1.000058
228,30890,4096,1.000058
229,30977,4096,1.000058
230,32410,4096,1.000058
231,639,4096,1.000058
232,2522,4096,1.000058
233,2935,4096,1.000058
234,3341,4096,1.000058
235,7081,4096,1.000058
236,7483,4096,1.000058
237,7938,4096,1.000058
238,8724,4096,1.000058
239,27845,4096,1.000059
240,29534,4096,1.000059
241,30933,4096,1.000059
242,4692,4096,1.000059
243,5034,4096,1.000059
244,5220,4096,1.000059
245,4714,4096,1.000059
246,29216,4096,1.00006
247,30170,4096,1.00006
248,31296,4096,1.00006
249,31422,4096,1.00006
250,32092,4096,1.00006
251,3898,4096,1.00006
252,5574,4096,1.00006
253,1751,4096,1.00006
254,3626,4096,1.00006
255,3655,4096,1.00006
256,4196,4096,1.00006
257,5175,4096,1.00006
258,5811,4096,1.00006
259,6565,4096,1.00006
260,7223,4096,1.00006
261,7324,4096,1.00006
262,8190,4096,1.00006
263,8317,4096,1.00006
264,8391,4096,1.00006
265,29107,4096,1.000061
266,31079,4096,1.000061
267,31081,4096,1.000061
268,32220,4096,1.000061
269,1267,4096,1.000061
270,3792,4096,1.000061
271,30285,4096,1.000061
272,31510,4096,1.000061
273,347,4096,1.000061
274,1430,4096,1.000061
275,2229,4096,1.000061
276,5359,4096,1.000061
277,6411,4096,1.000061
278,7230,4096,1.000061
279,31252,4096,1.000062
280,31465,4096,1.000062
281,1730,4096,1.000062
282,1385,4096,1.000062
283,4754,4096,1.000062
284,4776,4096,1.000062
285,5521,4096,1.000062
286,6454,4096,1.000062
287,7077,4096,1.000062
288,8012,4096,1.000062
289,8246,4096,1.000062
290,28098,4096,1.000063
291,28166,4096,1.000063
292,28341,4096,1.000063
293,30163,4096,1.000063
294,30478,4096,1.000063
295,31137,4096,1.000063
296,32549,4096,1.000063
297,703,4096,1.000063
298,715,4096,1.000063
299,2588,4096,1.000063
300,3745,4096,1.000063
301,5354,4096,1.000063
302,32338,4096,1.000063
303,6557,4096,1.000063
304,30007,4096,1.000064
305,30017,4096,1.000064
306,30103,4096,1.000064
307,32514,4096,1.000064
308,2853,4096,1.000064
309,3918,4096,1.000064
310,4982,4096,1.000064
311,32242,4096,1.000064
312,2419,4096,1.000064
313,6221,4096,1.000064
314,7126,4096,1.000064
315,7174,4096,1.000064
316,7752,4096,1.000064
317,7789,4096,1.000064
318,8085,4096,1.000064
319,27586,4096,1.000065
320,28038,4096,1.000065
321,694,4096,1.000065
322,910,4096,1.000065
323,1569,4096,1.000065
324,3974,4096,1.000065
325,31638,4096,1.000065
326,31907,4096,1.000065
327,1684,4096,1.000065
328,3263,4096,1.000065
329,3687,4096,1.000065
330,4208,4096,1.000065
331,4236,4096,1.000065
332,6043,4096,1.000065
333,6455,4096,1.000065
334,7382,4096,1.000065
335,7558,4096,1.000065
336,8147,4096,1.000065
337,28507,4096,1.000066
338,31388,4096,1.000066
339,31475,4096,1.000066
340,977,4096,1.000066
341,3531,4096,1.000066
342,4229,4096,1.000066
343,31000,4096,1.000066
344,415,4096,1.000066
345,1361,4096,1.000066
346,2493,4096,1.000066
347,2640,4096,1.000066
348,3573,4096,1.000066
349,4812,4096,1.000066
350,5539,4096,1.000066
351,27378,4096,1.000067
352,27439,4096,1.000067
353,27649,4096,1.000067
354,27969,4096,1.000067
355,30061,4096,1.000067
356,31096,4096,1.000067
357,32133,4096,1.000067
358,2703,4096,1.000067
359,3319,4096,1.000067
360,4512,4096,1.000067
361,30626,4096,1.000067
362,31512,4096,1.000067
363,31642,4096,1.000067
364,32654,4096,1.000067
365,1521,4096,1.000067
366,2368,4096,1.000067
367,4033,4096,1.000067
368,5145,4096,1.000067
369,30325,4096,1.000068
370,32118,4096,1.000068
371,3208,4096,1.000068
372,3709,4096,1.000068
373,3828,4096,1.000068
374,3840,4096,1.000068
375,4134,4096,1.000068
376,4572,4096,1.000068
377,4854,4096,1.000068
378,5385,4096,1.000068
379,31716,4096,1.000068
380,547,4096,1.000068
381,1772,4096,1.000068
382,3103,4096,1.000068
383,5018,4096,1.000068
384,7058,4096,1.000068
385,7965,4096,1.000068
386,8617,4096,1.000068
387,28925,4096,1.000069
388,28996,4096,1.000069
389,29855,4096,1.000069
390,30031,4096,1.000069
391,30326,4096,1.000069
392,31679,4096,1.000069
393,32745,4096,1.000069
394,5378,4096,1.000069
395,30645,4096,1.000069
396,657,4096,1.000069
397,2463,4096,1.000069
398,3237,4096,1.000069
399,7593,4096,1.000069
400,7793,4096,1.000069
401,7823,4096,1.000069
402,27257,4096,1.00007
403,30617,4096,1.00007
404,31995,4096,1.00007
405,369,4096,1.00007
406,684,4096,1.00007
407,2632,4096,1.00007
408,3076,4096,1.00007
409,3120,4096,1.00007
410,3786,4096,1.00007
411,4542,4096,1.00007
412,4922,4096,1.00007
413,31635,4096,1.00007
414,3502,4096,1.00007
415,3510,4096,1.00007
416,5871,4096,1.00007
417,8399,4096,1.00007
418,28406,4096,1.000071
419,29178,4096,1.000071
420,30814,4096,1.000071
421,31866,4096,1.000071
422,32232,4096,1.000071
423,732,4096,1.000071
424,2720,4096,1.000071
425,4359,4096,1.000071
426,1761,4096,1.000071
427,2003,4096,1.000071
428,2032,4096,1.000071
429,3257,4096,1.000071
430,6002,4096,1.000071
431,6320,4096,1.000071
432,7790,4096,1.000071
433,27527,4096,1.000072
434,28680,4096,1.000072
435,29908,4096,1.000072
436,31730,4096,1.000072
437,31931,4096,1.000072
438,3889,4096,1.000072
439,5535,4096,1.000072
440,32124,4096,1.000072
441,3759,4096,1.000072
442,6178,4096,1.000072
443,7162,4096,1.000072
444,28153,4096,1.000073
445,28422,4096,1.000073
446,29379,4096,1.000073
447,31311,4096,1.000073
448,1724,4096,1.000073
449,3749,4096,1.000073
450,3861,4096,1.000073
451,3979,4096,1.000073
452,4975,4096,1.000073
453,6540,4096,1.000073
454,6980,4096,1.000073
455,8584,4096,1.000073
456,28313,4096,1.000074
457,28515,4096,1.000074
458,29683,4096,1.000074
459,840,4096,1.000074
460,1491,4096,1.000074
461,1675,4096,1.000074
462,2223,4096,1.000074
463,4436,4096,1.000074
464,5041,4096,1.000074
465,32046,4096,1.000074
466,964,4096,1.000074
467,2422,4096,1.000074
468,2573,4096,1.000074
469,4828,4096,1.000074
470,8384,4096,1.000074
471,27010,4096,1.000075
472,28565,4096,1.000075
473,29114,4096,1.000075
474,1313,4096,1.000075
475,1480,4096,1.000075
476,4182,4096,1.000075
477,5266,4096,1.000075
478,31337,4096,1.000075
479,815,4096,1.000075
480,2814,4096,1.000075
481,28072,4096,1.000076
482,28871,4096,1.000076
483,31299,4096,1.000076
484,32734,4096,1.000076
485,2540,4096,1.000076
486,2739,4096,1.000076
487,3318,4096,1.000076
488,3464,4096,1.000076
489,3511,4096,1.000076
490,5233,4096,1.000076
491,417,4096,1.000076
492,800,4096,1.000076
493,3375,4096,1.000076
494,4087,4096,1.000076
495,5936,4096,1.000076
496,6270,4096,1.000076
497,6427,4096,1.000076
498,7991,4096,1.000076
499,8174,4096,1.000076
500,27689,4096,1.000077
501,28024,4096,1.000077
502,31319,4096,1.000077
503,31565,4096,1.000077
504,32488,4096,1.000077
505,32582,4096,1.000077
506,1427,4096,1.000077
507,5048,4096,1.000077
508,31562,4096,1.000077
509,1953,4096,1.000077
510,2780,4096,1.000077
511,6069,4096,1.000077
512,7966,4096,1.000077
513,27892,4096,1.000078
514,28535,4096,1.000078
515,30166,4096,1.000078
516,31706,4096,1.000078
517,1209,4096,1.000078
518,1586,4096,1.000078
519,2546,4096,1.000078
520,2839,4096,1.000078
521,3358,4096,1.000078
522,3664,4096,1.000078
523,31062,4096,1.000078
524,32587,4096,1.000078
525,3045,4096,1.000078
526,26858,4096,1.000079
527,27447,4096,1.000079
528,27563,4096,1.000079
529,27690,4096,1.000079
530,32594,4096,1.000079
531,1361,4096,1.000079
532,2383,4096,1.000079
533,4031,4096,1.000079
534,31130,4096,1.000079
535,31877,4096,1.000079
536,2855,4096,1.000079
537,4488,4096,1.000079
538,6332,4096,1.000079
539,27688,4096,1.00008
540,27973,4096,1.00008
541,30684,4096,1.00008
542,30872,4096,1.00008
543,30972,4096,1.00008
544,32002,4096,1.00008
545,2506,4096,1.00008
546,2900,4096,1.00008
547,3220,4096,1.00008
548,4735,4096,1.00008
549,5152,4096,1.00008
550,32132,4096,1.00008
551,1027,4096,1.00008
552,2442,4096,1.00008
553,3872,4096,1.00008
554,4507,4096,1.00008
555,4974,4096,1.00008
556,6022,4096,1.00008
557,7066,4096,1.00008
558,7178,4096,1.00008
559,28409,4096,1.000081
560,28826,4096,1.000081
561,29872,4096,1.000081
562,31274,4096,1.000081
563,32068,4096,1.000081
564,32123,4096,1.000081
565,32153,4096,1.000081
566,2127,4096,1.000081
567,2694,4096,1.000081
568,2954,4096,1.000081
569,4440,4096,1.000081
570,4464,4096,1.000081
571,5124,4096,1.000081
572,30504,4096,1.000081
573,1366,4096,1.000081
574,3323,4096,1.000081
575,4817,4096,1.000081
576,5653,4096,1.000081
577,6052,4096,1.000081
578,28850,4096,1.000082
579,30680,4096,1.000082
580,30971,4096,1.000082
581,1563,4096,1.000082
582,2710,4096,1.000082
583,2791,4096,1.000082
584,3060,4096,1.000082
585,32676,4096,1.000082
586,1189,4096,1.000082
587,3770,4096,1.000082
588,6124,4096,1.000082
589,6569,4096,1.000082
590,8486,4096,1.000082
591,27344,4096,1.000083
592,29357,4096,1.000083
593,2494,4096,1.000083
594,2771,4096,1.000083
595,3353,4096,1.000083
596,3651,4096,1.000083
597,30586,4096,1.000083
598,31977,4096,1.000083
599,644,4096,1.000083
