Count,ProcessID,Time(Seconds),Data(Bytes)
1,16546,8192,2.000091
2,16542,16384,4.00013
3,16549,12288,3.00013
4,16547,16384,4.000128
5,16568,4096,1.000116
6,16566,8192,2.000129
7,16560,16384,4.000147
8,16551,20480,5.000136
9,16570,8192,2.000101
10,16572,8192,2.000142
11,16550,24576,6.000129
12,16569,12288,3.000102
13,16543,32768,8.000124
14,16574,8192,2.000079
15,16544,32768,8.000118
16,16575,8192,2.000091
17,16541,36864,9.000134
18,16561,24576,6.000129
19,16548,32768,8.00014
20,16559,28672,7.000072
21,16577,12288,3.000112
22,16545,40960,10.000149
23,16564,28672,7.000118
24,16573,20480,5.00013
25,16581,12288,3.000079
26,16567,28672,7.000144
27,16565,32768,8.000149
28,16586,12288,3.000142
29,16596,4096,1.000123
30,16562,40960,10.000121
31,16578,24576,6.000124
32,16563,40960,10.000151
33,16599,4096,1.0001
34,16584,20480,5.000135
35,16592,12288,3.000094
36,16571,36864,9.000147
37,16583,24576,6.000112
38,16580,28672,7.000099
39,16600,8192,2.000088
40,16604,4096,1.000113
41,16593,16384,4.000109
42,16605,4096,1.000093
43,16582,28672,7.000147
44,16590,20480,5.000065
45,16607,4096,1.000095
46,16588,24576,6.000125
47,16579,36864,9.000106
48,16576,40960,10.000137
49,16587,32768,8.000147
50,16603,16384,4.000087
51,16608,12288,3.000152
52,16589,32768,8.000115
53,16598,24576,6.000155
54,16619,4096,1.000102
55,16612,12288,3.000143
56,16585,40960,10.000145
57,16606,20480,5.0001
58,16591,36864,9.000095
59,16601,28672,7.000159
60,16594,36864,9.000131
61,16614,16384,4.000112
62,16595,40960,10.000124
63,16624,12288,3.000146
64,16597,40960,10.000121
65,16613,24576,6.000134
66,16629,8192,2.000099
67,16602,36864,9.000123
68,16616,24576,6.000147
69,16620,20480,5.000134
70,16618,24576,6.000153
71,16627,16384,4.000108
72,16617,28672,7.000113
73,16634,12288,3.000136
74,16611,36864,9.000138
75,16615,32768,8.000068
76,16609,40960,10.000145
77,16633,16384,4.000081
78,16610,40960,10.000096
79,16630,20480,5.000071
80,16636,16384,4.000128
81,16626,28672,7.000162
82,16623,32768,8.00014
83,16628,28672,7.000112
84,16625,32768,8.000114
85,16644,16384,4.000162
86,16652,8192,2.000089
87,16621,40960,10.000122
88,16649,12288,3.000104
89,16622,40960,10.00009
90,16642,20480,5.000075
91,16639,24576,6.000099
92,16637,28672,7.000143
93,16631,36864,9.000158
94,16632,36864,9.000091
95,16640,28672,7.000076
96,16648,20480,5.000064
97,16657,12288,3.000118
98,16662,8192,2.000112
99,16635,36864,9.000141
100,16661,12288,3.00017
101,16646,28672,7.000106
102,16666,8192,2.000084
103,16655,20480,5.000131
104,16659,16384,4.000068
105,16663,12288,3.000057
106,16668,8192,2.000145
107,16641,36864,9.000139
108,16669,8192,2.000079
109,16638,40960,10.000151
110,16660,20480,5.000145
111,16645,36864,9.0001
112,16654,28672,7.000113
113,16643,40960,10.000118
114,16656,28672,7.000139
115,16665,20480,5.000118
116,16647,40960,10.000133
117,16664,24576,6.000138
118,16653,36864,9.000142
119,16650,40960,10.000125
