ProcessID	Data (Bytes)	Times Seconds
8842	255	0.000192
9438	255	0.000214
8587	255	0.000233
9462	255	0.000258
9622	255	0.000268
8750	255	0.00031
8596	255	0.000371
8588	255	0.000383
8594	255	0.000471
8592	255	0.000541
8632	255	0.000641
8595	255	0.000673
8613	255	0.000675
9470	255	0.000681
8603	255	0.000794
8593	255	0.00084
8633	255	0.000909
8615	255	0.001013
8980	255	0.001121
8609	255	0.001173
9488	255	0.001238
8589	255	0.001388
8797	255	0.001437
8612	255	0.001521
8839	255	0.001579
8591	255	0.001669
8611	255	0.00175
8598	255	0.001874
8590	255	0.001881
9013	255	0.001988
8597	255	0.003964
8634	255	0.005361
8635	255	0.010151
8638	255	0.011575
8608	255	0.013212
8606	255	0.013655
8605	255	0.015851
8646	255	0.029012
9154	255	0.078896
9132	255	0.07897
9148	255	0.079783
8637	255	0.080687
9184	255	0.086219
9192	255	0.088179
9617	255	0.088496
9599	255	0.088518
8968	255	0.088693
9020	255	0.089149
8636	255	0.091101
9807	255	0.092358
9846	255	0.093015
9837	255	0.093131
9839	255	0.093245
9490	255	0.093273
9841	255	0.093295
9845	255	0.093367
9499	255	0.093465
9854	255	0.0935
9434	255	0.093526
9864	255	0.093846
9548	255	0.094115
8607	255	0.094342
9914	255	0.097356
9915	255	0.097424
9969	255	0.097731
9943	255	0.097969
10233	255	0.107903
10240	255	0.109918
10296	255	0.110838
10281	255	0.113192
9450	255	0.120821
9477	255	0.121273
9480	255	0.121337
9484	255	0.121469
9486	255	0.121515
9492	255	0.121628
9495	255	0.12168
9504	255	0.122024
9521	255	0.122511
9522	255	0.122682
9557	255	0.123447
9587	255	0.124314
9104	255	0.125916
9753	255	0.133202
9982	255	0.134307
9979	255	0.134348
9960	255	0.13482
9926	255	0.134848
10054	255	0.140581
10418	255	0.14117
10061	255	0.14182
10065	255	0.1426
10143	255	0.14488
10148	255	0.145006
8996	255	0.153439
9136	255	0.153803
9320	255	0.155013
9230	255	0.155081
9140	255	0.155099
9161	255	0.155222
9519	255	0.159196
9273	255	0.160085
9280	255	0.160781
10293	255	0.1647
10242	255	0.164733
10402	255	0.165848
10434	255	0.166377
10420	255	0.166548
10347	255	0.168861
10449	255	0.169068
10394	255	0.171361
10451	255	0.173577
10194	255	0.173701
10208	255	0.174135
10413	255	0.174599
10435	255	0.174776
10486	255	0.17501
10279	255	0.175043
10152	255	0.175575
10172	255	0.175784
10158	255	0.175873
10159	255	0.176079
10187	255	0.176282
